id_loc,nrohab,village,district,province,RiverName,HydroNameL6,HydroNameL7,HydroNameANA
1601030097,49,NUEVA ESPERANZA,FERNANDO LORES,MAYNAS,Rio Tahuayo,Hydro2,Hydro25,Cuenca Tahuayo
1601030102,54,SAN CARLOS,FERNANDO LORES,MAYNAS,Rio Tahuayo,Hydro2,Hydro25,Cuenca Tahuayo
1601030109,44,SAN JUAN DE CUNSHICO COCH,FERNANDO LORES,MAYNAS,Rio Tahuayo,Hydro2,Hydro25,Cuenca Tahuayo
1601030074,62,CHAVIN,FERNANDO LORES,MAYNAS,Rio Tahuayo,Hydro2,Hydro21,Cuenca Tahuayo
1601030054,125,NUEVO SAN MARTIN,FERNANDO LORES,MAYNAS,Rio Tahuayo,Hydro2,Hydro21,Cuenca Tahuayo
1601030049,43,PACHACUTEC,FERNANDO LORES,MAYNAS,Rio Tahuayo,Hydro2,Hydro21,Cuenca Tahuayo
1601030101,106,PUERTO ROSARIO,FERNANDO LORES,MAYNAS,Rio Tamshiyacu,Hydro2,Hydro21,Intercuenca 49797
1601030041,94,MAGDALENA,FERNANDO LORES,MAYNAS,Rio Tamshiyacu,Hydro2,Hydro21,Intercuenca 49797
1601080012,218,SAN LUIS DE VISTA ALEGRE,PUNCHANA,MAYNAS,Rio Momon,Hydro2,Hydro20,Cuenca Nanay
1601080014,54,UNION FAMILIAR,PUNCHANA,MAYNAS,Rio Momon,Hydro2,Hydro20,Cuenca Nanay
1601080023,216,SAN JUAN DE POLIS,PUNCHANA,MAYNAS,Rio Momon,Hydro2,Hydro20,Cuenca Nanay
1601080024,62,8 DE SETIEMBRE,PUNCHANA,MAYNAS,Rio Momon,Hydro2,Hydro20,Cuenca Nanay
1601080030,57,NUEVO PARAISO,PUNCHANA,MAYNAS,Rio Momon,Hydro2,Hydro20,Cuenca Nanay
1601080040,41,FLOR DE AGOSTO,PUNCHANA,MAYNAS,Rio Momon,Hydro2,Hydro20,Cuenca Nanay
1601080043,61,NUEVO SAN ANTONIO,PUNCHANA,MAYNAS,Rio Momon,Hydro2,Hydro20,Cuenca Nanay
